CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
34609	39853	-1.018	0.000	0.7903	0.7310	1
34609	39854	-2.014	0.000	0.7838	0.7198	1
34613	34640	-1.006	0.000	0.9370	0.8573	1
34614	34632	-1009.521	0.000	0.8610	0.7810	1
34615	34629	-1.002	0.000	0.9631	0.9281	1
34615	34648	-2.001	0.000	0.9477	0.9138	1
34617	34623	-0.006	0.000	0.7994	0.6347	1
25509	25536	-0.984	0.000	0.8710	0.6717	1
25509	25539	-1.008	0.000	0.9476	0.8588	1
25509	25576	-1.992	0.000	0.9168	0.7948	1
25509	25983	-18.024	0.000	0.7957	0.5736	1
25509	25985	-18.024	0.000	0.9085	0.8154	1
25510	25530	-1.016	0.000	0.7914	0.6509	1
25510	25559	-2.016	0.000	0.8382	0.7559	1
25510	25588	-3.024	0.000	0.7457	0.6297	1
25512	25544	-1.026	0.000	0.8937	0.8298	1
25513	25562	-1.006	0.000	0.9378	0.8183	1
25514	25516	0.003	0.000	0.7069	0.5845	1
25514	25540	-0.996	0.000	0.9746	0.8956	1
25514	25578	-1.992	0.000	0.9539	0.8687	1
25516	25578	-1.995	0.000	0.7136	0.5944	1
25522	25543	-0.999	0.000	0.9188	0.8666	1
25522	25579	-1.992	0.000	0.8529	0.7994	1
25522	25617	-2.988	0.000	0.7602	0.7035	1
25525	25533	-1.016	0.000	0.8780	0.7628	1
25525	25571	-2.000	0.000	0.7661	0.6764	1
25525	37647	0.001	0.000	0.7305	0.6368	1
25525	37651	-1.013	0.000	0.7304	0.6369	1
25527	25573	-0.998	0.000	0.8329	0.7464	1
25530	25559	-1.000	0.000	0.8228	0.6990	1
25530	25588	-2.008	0.000	0.7505	0.6239	1
25533	25571	-0.984	0.000	0.8473	0.7930	1
25533	37647	1.017	0.000	0.7488	0.7023	1
25533	37651	0.003	0.000	0.7421	0.6758	1
25536	25539	-0.024	0.000	0.8754	0.6902	1
25536	25576	-1.008	0.000	0.8665	0.6659	1
25536	25983	-17.040	0.000	0.8362	0.6689	1
25536	25985	-17.040	0.000	0.8528	0.6855	1
25539	25576	-0.984	0.000	0.9330	0.8432	1
25539	25983	-17.016	0.000	0.7915	0.5784	1
25539	25985	-17.016	0.000	0.9194	0.8479	1
25540	25578	-0.996	0.000	0.9661	0.8871	1
25543	25579	-0.993	0.000	0.9312	0.8839	1
25543	25617	-1.989	0.000	0.9046	0.8685	1
25543	25862	-11.997	0.000	0.7271	0.5260	1
25543	26206	-27.981	0.000	0.7279	0.5168	1
25549	25584	-0.999	0.000	0.9928	0.9699	1
25549	25625	-2.013	0.000	0.9636	0.9143	1
25549	25998	-17.028	0.000	0.9302	0.8036	1
25549	26015	-18.027	0.000	0.9721	0.9540	1
25549	26034	-19.029	0.000	0.9627	0.9056	1
25552	25586	-1.011	0.000	0.9257	0.8552	1
25553	25580	1670.722	0.000	0.7597	0.7129	1
25554	25574	-1.005	0.000	0.7954	0.6544	1
25557	25599	-1.000	0.000	0.8706	0.7645	1
25559	25588	-1.008	0.000	0.8632	0.7790	1
25570	25604	-0.986	0.000	0.8316	0.6615	1
25576	25983	-16.032	0.000	0.7645	0.5324	1
25576	25985	-16.032	0.000	0.8717	0.7642	1
25579	25617	-0.996	0.000	0.9551	0.9209	1
25579	25862	-11.004	0.000	0.7038	0.5068	1
25584	25625	-1.014	0.000	0.9742	0.9378	1
25584	25998	-16.029	0.000	0.9333	0.8197	1
25584	26015	-17.028	0.000	0.9838	0.9569	1
25584	26034	-18.030	0.000	0.9688	0.9233	1
25592	25633	-0.996	0.000	0.9839	0.9650	1
25592	25660	-2.019	0.000	0.9198	0.8391	1
25596	25649	-1.004	0.000	0.9580	0.8942	1
25611	25630	-1.012	0.000	0.9551	0.9061	1
25611	25927	-17.032	0.000	0.8110	0.7067	1
25611	25947	-18.040	0.000	0.8201	0.7153	1
25622	25642	-1.008	0.000	0.8602	0.7757	1
25625	25998	-15.015	0.000	0.9161	0.8022	1
25625	26015	-16.014	0.000	0.9650	0.9181	1
25625	26034	-17.016	0.000	0.9441	0.8766	1
25630	25927	-16.020	0.000	0.8304	0.7301	1
25630	25947	-17.028	0.000	0.8166	0.7200	1
25633	25660	-1.023	0.000	0.9431	0.8793	1
25637	25661	-1.005	0.000	0.9314	0.8317	1
25639	25662	-0.990	0.000	0.8861	0.7007	1
25643	25658	-1.020	0.000	0.8918	0.8421	1
25645	25667	-1.008	0.000	0.9249	0.8558	1
25650	25668	-1674.832	0.000	0.7205	0.4957	1
25661	32950	-396.201	0.000	0.7399	0.5836	1
25671	25697	-0.996	0.000	0.9555	0.8736	1
25686	25709	-838.502	0.000	0.7221	0.5446	1
25688	25700	-0.999	0.000	0.9554	0.8839	1
25688	26079	-17.034	0.000	0.7786	0.6606	1
25688	28277	-128.091	0.000	0.7084	0.6618	1
25700	26079	-16.035	0.000	0.7767	0.6829	1
25700	28298	-128.100	0.000	0.7398	0.6776	1
25716	25737	-1.004	0.000	0.9689	0.9159	1
25717	25739	-1.004	0.000	0.9741	0.9237	1
25717	26261	-17.026	0.000	0.9186	0.7992	1
25717	26283	-18.030	0.000	0.9054	0.8260	1
25718	25738	-1.002	0.000	0.8856	0.7459	1
25719	25759	-1.002	0.000	0.9485	0.8919	1
25724	25763	-1.005	0.000	0.9749	0.9400	1
25724	25782	-1.998	0.000	0.9360	0.8665	1
25728	26018	-15.004	0.000	0.7414	0.6382	1
25728	26036	-15.996	0.000	0.7121	0.6098	1
25728	26041	1667.820	0.000	0.7530	0.6252	1
25731	25775	-1.005	0.000	0.9478	0.8918	1
25731	25805	-2.025	0.000	0.8484	0.7455	1
25739	26261	-16.022	0.000	0.9003	0.7648	1
25739	26283	-17.026	0.000	0.9062	0.8261	1
25763	25782	-0.993	0.000	0.8970	0.8505	1
25770	25797	-1.016	0.000	0.8214	0.5885	1
25770	25816	-2.012	0.000	0.7997	0.6336	1
25774	25804	-1.011	0.000	0.8906	0.7427	1
25775	25805	-1.020	0.000	0.8850	0.7719	1
25778	25808	-0.999	0.000	0.9062	0.8090	1
25778	25829	-1.989	0.000	0.8156	0.7107	1
25779	25812	-0.999	0.000	0.9401	0.8534	1
25779	25841	-1.995	0.000	0.9344	0.8218	1
25779	25861	-3.000	0.000	0.8436	0.7736	1
25779	26187	-18.027	0.000	0.8693	0.7804	1
25779	26208	-19.017	0.000	0.8430	0.7540	1
25784	25844	-3.015	0.000	0.7969	0.5013	1
25784	36006	-0.011	0.000	0.7232	0.4041	1
25784	36021	-2.015	0.000	0.7475	0.5384	1
25792	25838	-1.000	0.000	0.9459	0.8681	1
25796	25846	-1.004	0.000	0.8777	0.7641	1
25797	25816	-0.996	0.000	0.8972	0.7833	1
25799	26332	-18.010	0.000	0.8777	0.6902	1
25799	26355	-19.006	0.000	0.8122	0.6373	1
25802	25844	-1.970	0.000	0.7162	0.6150	1
25803	25819	-0.975	0.000	0.8623	0.7850	1
25808	25829	-0.990	0.000	0.8985	0.8365	1
25812	25841	-0.996	0.000	0.9330	0.8082	1
25812	25861	-2.001	0.000	0.8539	0.7874	1
25812	26187	-17.028	0.000	0.8640	0.7865	1
25812	26208	-18.018	0.000	0.8499	0.7566	1
25813	25820	-0.996	0.000	0.9245	0.8062	1
25813	28602	-185.112	0.000	0.7968	0.7120	1
25813	28631	-186.108	0.000	0.7383	0.6171	1
25820	28602	-184.116	0.000	0.7257	0.5906	1
25820	28631	-185.112	0.000	0.7684	0.6815	1
25820	28649	-186.128	0.000	0.7207	0.5941	1
25823	25826	0.008	0.000	0.7260	0.4798	1
25823	25870	-0.988	0.000	0.8769	0.7818	1
25826	25870	-0.996	0.000	0.8116	0.5978	1
25829	25860	-0.975	0.000	0.8198	0.6839	1
25839	25884	-842.437	0.000	0.8132	0.6943	1
25839	25909	-843.433	0.000	0.8157	0.7185	1
25841	25861	-1.005	0.000	0.8765	0.7997	1
25841	26187	-16.032	0.000	0.8533	0.7166	1
25841	26208	-17.022	0.000	0.8595	0.7496	1
25844	36006	3.004	0.000	0.7742	0.6682	1
25844	36021	1.000	0.000	0.7223	0.4677	1
25854	25866	-0.996	0.000	0.9204	0.8551	1
25854	25868	-0.999	0.000	0.9069	0.8218	1
25854	25883	-2.010	0.000	0.9148	0.8635	1
25861	26187	-15.027	0.000	0.8022	0.7425	1
25861	26208	-16.017	0.000	0.8434	0.7703	1
25862	26206	-15.984	0.000	0.7756	0.6430	1
25866	25868	-0.003	0.000	0.8999	0.8227	1
25866	25883	-1.014	0.000	0.9186	0.8345	1
25868	25883	-1.011	0.000	0.8848	0.7810	1
25873	25895	-0.992	0.000	0.8097	0.6816	1
25873	25944	-1.994	0.000	0.8276	0.6881	1
25880	25885	-1.015	0.000	0.8168	0.7343	1
25881	25903	-1.011	0.000	0.8753	0.6789	1
25881	25907	-1.017	0.000	0.8471	0.6023	1
25884	25909	-0.996	0.000	0.8512	0.7501	1
25891	25942	-1.002	0.000	0.9359	0.8974	1
25895	25944	-1.002	0.000	0.8530	0.7917	1
25895	25972	-1.992	0.000	0.7595	0.5769	1
25902	25935	-0.996	0.000	0.9004	0.8186	1
25902	25981	-2.982	0.000	0.7058	0.6491	1
25903	25907	-0.006	0.000	0.8478	0.5504	1
25913	25948	-0.998	0.000	0.9591	0.8249	1
25917	25937	-0.999	0.000	0.9052	0.7927	1
25917	25958	-2.010	0.000	0.8809	0.7899	1
25917	26238	-15.996	0.000	0.8501	0.7463	1
25917	26251	-16.998	0.000	0.8215	0.6862	1
25917	26267	-18.000	0.000	0.8013	0.6138	1
25917	26280	-19.008	0.000	0.7136	0.5464	1
25922	25951	-1.002	0.000	0.9796	0.9477	1
25926	25945	-1.004	0.000	0.9437	0.8963	1
25927	25947	-1.008	0.000	0.9216	0.8410	1
25930	25952	-0.999	0.000	0.8636	0.7179	1
25930	25966	-2.001	0.000	0.8362	0.7033	1
25932	25953	-0.999	0.000	0.9376	0.8082	1
25932	25973	-2.007	0.000	0.9363	0.8286	1
25934	25984	-2.007	0.000	0.9113	0.8116	1
25935	25981	-1.986	0.000	0.7493	0.7074	1
25937	25958	-1.011	0.000	0.9299	0.8646	1
25937	26238	-14.997	0.000	0.7944	0.6434	1
25937	26251	-15.999	0.000	0.8762	0.7564	1
25937	26267	-17.001	0.000	0.8455	0.7168	1
25937	26280	-18.009	0.000	0.7101	0.5111	1
25940	25967	-1.004	0.000	0.9802	0.9493	1
25940	26381	-15.996	0.000	0.7675	0.6238	1
25944	25972	-0.990	0.000	0.7665	0.6074	1
25952	25966	-1.002	0.000	0.8840	0.7879	1
25953	25973	-1.008	0.000	0.9393	0.8557	1
25958	26238	-13.986	0.000	0.8153	0.6606	1
25958	26251	-14.988	0.000	0.8347	0.6964	1
25958	26267	-15.990	0.000	0.8722	0.7606	1
25958	26280	-16.998	0.000	0.7091	0.5115	1
25958	27066	-56.013	0.000	0.7039	0.5468	1
25983	25985	0.000	0.000	0.7724	0.5789	1
25991	26004	-1.008	0.000	0.8583	0.7568	1
25994	26011	-1.002	0.000	0.8779	0.6782	1
25994	26013	-1.017	0.000	0.8856	0.7887	1
25994	26033	-1.995	0.000	0.8515	0.7460	1
25994	26611	-34.992	0.000	0.7479	0.6370	1
25998	26015	-0.999	0.000	0.9456	0.8325	1
25998	26034	-2.001	0.000	0.9259	0.8070	1
26011	26013	-0.015	0.000	0.9299	0.8119	1
26011	26033	-0.993	0.000	0.9192	0.8037	1
26011	26611	-33.990	0.000	0.9258	0.7959	1
26011	26648	-34.998	0.000	0.8273	0.7083	1
26013	26033	-0.978	0.000	0.9522	0.8608	1
26013	26611	-33.975	0.000	0.9431	0.8242	1
26013	26648	-34.983	0.000	0.8264	0.7486	1
26015	26034	-1.002	0.000	0.9681	0.9158	1
26018	26036	-0.992	0.000	0.8382	0.7825	1
26018	26041	1682.824	0.000	0.7593	0.6458	1
26022	26051	-1.004	0.000	0.9477	0.8941	1
26022	26951	-31.986	0.000	0.7295	0.5960	1
26025	26045	-0.958	0.000	0.8135	0.6200	1
26026	26037	-1.008	0.000	0.9496	0.9045	1
26029	26054	-1.004	0.000	0.9409	0.8798	1
26033	26611	-32.997	0.000	0.7970	0.6528	1
26033	26648	-34.005	0.000	0.9218	0.7841	1
26035	26042	-1.012	0.000	0.8431	0.7514	1
26035	26058	-2.032	0.000	0.8436	0.7494	1
26035	37810	1.002	0.000	0.7937	0.7554	1
26035	37822	0.000	0.000	0.8029	0.7924	1
26035	37829	-1.005	0.000	0.8070	0.7509	1
26035	37836	-2.013	0.000	0.7624	0.7030	1
26036	26041	1683.816	0.000	0.8128	0.6899	1
26036	26057	-1.992	0.000	0.7776	0.6715	1
26039	26067	-0.998	0.000	0.9551	0.8939	1
26040	26068	-1.000	0.000	0.9525	0.8345	1
26041	26057	-1685.807	0.000	0.8236	0.7227	1
26042	26058	-1.020	0.000	0.7500	0.6143	1
26042	37810	2.014	0.000	0.7008	0.6908	1
26042	37822	1.012	0.000	0.7155	0.6884	1
26042	37829	0.007	0.000	0.7297	0.7296	1
26051	26989	-31.986	0.000	0.7201	0.6090	1
26088	26104	-1.012	0.000	0.7133	0.6416	1
26094	26122	-1.017	0.000	0.8862	0.6398	1
26094	26123	-1.023	0.000	0.9419	0.8560	1
26100	26120	-1.004	0.000	0.8809	0.7573	1
26101	26116	-1.000	0.000	0.9679	0.8988	1
26101	26132	-2.005	0.000	0.9500	0.8635	1
26101	36169	0.026	0.000	0.8071	0.7649	1
26101	36179	-0.990	0.000	0.8367	0.7964	1
26101	36184	-2.010	0.000	0.8084	0.7527	1
26106	26140	-1.006	0.000	0.8517	0.6981	1
26110	26128	-0.993	0.000	0.9668	0.8790	1
26110	26146	-2.007	0.000	0.9535	0.9128	1
26110	26174	-2.991	0.000	0.8117	0.7415	1
26110	26422	-18.024	0.000	0.9383	0.8579	1
26115	26131	-1.005	0.000	0.8395	0.7633	1
26115	26141	-1.995	0.000	0.7451	0.6023	1
26116	26132	-1.005	0.000	0.9489	0.8816	1
26116	36169	1.026	0.000	0.8083	0.7717	1
26116	36179	0.010	0.000	0.8372	0.8224	1
26116	36184	-1.010	0.000	0.7956	0.7418	1
26122	26123	-0.006	0.000	0.8968	0.6711	1
26128	26146	-1.014	0.000	0.9571	0.9022	1
26128	26174	-1.998	0.000	0.8253	0.7431	1
26128	26422	-17.031	0.000	0.9301	0.8704	1
26130	26147	-1.002	0.000	0.9020	0.7884	1
26130	26176	-2.016	0.000	0.9059	0.8172	1
26131	26141	-0.990	0.000	0.8220	0.6970	1
26132	36169	2.031	0.000	0.7735	0.7245	1
26132	36179	1.015	0.000	0.7955	0.7739	1
26132	36184	-0.005	0.000	0.7907	0.7524	1
26139	26172	-1.004	0.000	0.9610	0.9094	1
26146	26174	-0.984	0.000	0.8369	0.7339	1
26146	26422	-16.017	0.000	0.9026	0.8421	1
26147	26176	-1.014	0.000	0.8997	0.8316	1
26158	26197	-1.002	0.000	0.9511	0.8832	1
26158	26228	-2.006	0.000	0.7875	0.6988	1
26158	27108	-31.988	0.000	0.9517	0.8537	1
26158	27132	-32.988	0.000	0.7135	0.6159	1
26174	26422	-15.033	0.000	0.7629	0.6787	1
26175	26196	-1.000	0.000	0.9213	0.8095	1
26176	26426	-15.015	0.000	0.7272	0.5784	1
26176	26438	-16.026	0.000	0.7429	0.5897	1
26179	26190	-0.990	0.000	0.7561	0.5653	1
26186	36203	-0.015	0.000	0.7299	0.6223	1
26186	36211	-1.019	0.000	0.7027	0.5717	1
26187	26208	-0.990	0.000	0.8758	0.7969	1
26188	26209	-0.987	0.000	0.8328	0.7262	1
26190	26200	-1.000	0.000	0.7913	0.6727	1
26197	26228	-1.004	0.000	0.7807	0.6292	1
26197	27108	-30.986	0.000	0.7128	0.6328	1
26197	27132	-31.986	0.000	0.9681	0.9067	1
26200	26212	-0.990	0.000	0.8985	0.8130	1
26207	26220	-0.993	0.000	0.7529	0.7008	1
26210	26222	-1.008	0.000	0.8835	0.7536	1
26218	26232	-1.016	0.000	0.8941	0.7399	1
26227	26235	-1.000	0.000	0.9468	0.8510	1
26227	27368	-76.036	0.000	0.7850	0.6879	1
26227	33049	469.323	0.000	0.7414	0.5675	1
26227	33065	468.318	0.000	0.8278	0.6699	1
26227	33082	467.319	0.000	0.7196	0.5445	1
26227	37924	-0.990	0.000	0.8473	0.7579	1
26228	27132	-30.982	0.000	0.7469	0.5737	1
26235	27371	-76.012	0.000	0.7988	0.7014	1
26235	33065	469.318	0.000	0.7616	0.5709	1
26235	33082	468.319	0.000	0.8184	0.6177	1
26235	37924	0.010	0.000	0.8246	0.6930	1
26238	26251	-1.002	0.000	0.9827	0.9621	1
26238	26267	-2.004	0.000	0.9454	0.8893	1
26238	26280	-3.012	0.000	0.7463	0.5823	1
26238	27066	-42.027	0.000	0.7094	0.5527	1
26240	26255	-0.998	0.000	0.9796	0.9460	1
26242	26260	-1.014	0.000	0.9287	0.8644	1
26247	26274	-1.002	0.000	0.9385	0.8786	1
26251	26267	-1.002	0.000	0.9601	0.9011	1
26251	26280	-2.010	0.000	0.7643	0.5992	1
26251	27066	-41.025	0.000	0.7181	0.5352	1
26254	26265	-1.008	0.000	0.8392	0.7613	1
26261	26283	-1.004	0.000	0.9519	0.8346	1
26263	26278	-0.996	0.000	0.9304	0.8592	1
26267	26280	-1.008	0.000	0.7505	0.5448	1
26267	27066	-40.023	0.000	0.7204	0.5215	1
26275	26282	-1.020	0.000	0.8911	0.8053	1
26275	26286	-2.010	0.000	0.8604	0.7654	1
26275	28135	-156.100	0.000	0.7260	0.6422	1
26275	28149	-157.110	0.000	0.7078	0.6245	1
26282	26286	-0.990	0.000	0.8716	0.7874	1
26282	28149	-156.090	0.000	0.7175	0.6536	1
26286	28158	-156.100	0.000	0.7267	0.6424	1
26287	26299	-1.002	0.000	0.8355	0.7898	1
26287	26301	-0.996	0.000	0.7589	0.5585	1
26287	26584	-17.028	0.000	0.8993	0.8323	1
26288	26303	-1.005	0.000	0.8723	0.8225	1
26290	26300	1693.772	0.000	0.7242	0.6262	1
26291	26314	-1.011	0.000	0.8995	0.7903	1
26291	26323	-2.004	0.000	0.8818	0.8004	1
26295	26308	-0.995	0.000	0.8313	0.6903	1
26297	26324	-1.002	0.000	0.9424	0.8955	1
26299	26301	0.006	0.000	0.7971	0.5867	1
26299	26584	-16.026	0.000	0.7030	0.6571	1
26313	28021	-86.097	0.000	0.7627	0.5506	1
26314	26323	-0.993	0.000	0.8904	0.7966	1
26315	26336	-1.004	0.000	0.7840	0.7008	1
26318	26338	-1.011	0.000	0.8820	0.7907	1
26318	26356	-2.022	0.000	0.7874	0.6460	1
26318	26636	-17.031	0.000	0.8137	0.6653	1
26318	26659	-18.039	0.000	0.8278	0.6889	1
26320	26340	-1.023	0.000	0.9256	0.8423	1
26320	27224	-44.022	0.000	0.8168	0.7288	1
26320	27245	-45.030	0.000	0.7969	0.7061	1
26320	27247	-45.030	0.000	0.7296	0.5057	1
26320	27638	-62.058	0.000	0.7287	0.5944	1
26328	26347	-1.002	0.000	0.8722	0.7999	1
26328	26351	-1.006	0.000	0.8996	0.6842	1
26331	26354	-1.006	0.000	0.9323	0.8383	1
26332	26355	-0.996	0.000	0.9288	0.8983	1
26334	26342	-0.988	0.000	0.9466	0.8772	1
26334	26364	-1.996	0.000	0.9593	0.9046	1
26334	26369	-2.992	0.000	0.9180	0.8252	1
26334	26654	-22.956	0.000	0.7521	0.6600	1
26334	37971	0.009	0.000	0.7507	0.5572	1
26334	37973	-0.981	0.000	0.8383	0.7886	1
26334	37974	-0.993	0.000	0.7501	0.5583	1
26334	37980	-1.974	0.000	0.8265	0.7693	1
26334	37990	-2.985	0.000	0.8035	0.7343	1
26334	38093	-17.007	0.000	0.8328	0.7841	1
26334	38102	-18.012	0.000	0.7932	0.6677	1
26334	38103	-17.997	0.000	0.8358	0.7712	1
26334	38110	-19.020	0.000	0.8303	0.7790	1
26334	38113	-20.019	0.000	0.8010	0.7571	1
26334	38125	-22.968	0.000	0.7426	0.6727	1
26334	38134	-23.973	0.000	0.7082	0.5479	1
26338	26356	-1.011	0.000	0.9361	0.8694	1
26338	26636	-16.020	0.000	0.7960	0.6439	1
26338	26659	-17.028	0.000	0.9394	0.8849	1
26338	30749	-227.169	0.000	0.7951	0.7189	1
26339	26607	-14.997	0.000	0.7661	0.7450	1
26339	26639	-16.002	0.000	0.8950	0.7799	1
26339	26660	-16.998	0.000	0.7396	0.6340	1
26340	27245	-44.007	0.000	0.7683	0.6165	1
26340	27247	-44.007	0.000	0.7260	0.4791	1
26341	26363	-1.011	0.000	0.9574	0.9110	1
26342	26364	-1.008	0.000	0.9607	0.9052	1
26342	26369	-2.004	0.000	0.9372	0.8614	1
26342	26654	-21.968	0.000	0.7659	0.6544	1
26342	37971	0.997	0.000	0.7657	0.5690	1
26342	37973	0.007	0.000	0.8583	0.8401	1
26342	37974	-0.005	0.000	0.7677	0.5725	1
26342	37980	-0.986	0.000	0.8532	0.8206	1
26342	37990	-1.997	0.000	0.8280	0.7848	1
26342	38093	-16.019	0.000	0.8534	0.8216	1
26342	38102	-17.024	0.000	0.8078	0.6909	1
26342	38103	-17.009	0.000	0.8574	0.8311	1
26342	38110	-18.032	0.000	0.8289	0.7782	1
26342	38113	-19.031	0.000	0.8319	0.8145	1
26342	38125	-21.980	0.000	0.7524	0.6874	1
26342	38134	-22.985	0.000	0.7191	0.5921	1
26344	26379	-1.002	0.000	0.9736	0.9292	1
26345	26367	-0.996	0.000	0.9034	0.7458	1
26345	26382	-1.992	0.000	0.9077	0.8151	1
26345	26399	-2.992	0.000	0.8127	0.6381	1
26345	26407	-4.016	0.000	0.7873	0.6170	1
26345	26578	1688.306	0.000	0.8811	0.7357	1
26345	26595	-18.028	0.000	0.8121	0.6394	1
26345	26615	-19.028	0.000	0.8666	0.7436	1
26345	26626	1686.800	0.000	0.8813	0.8207	1
26345	26883	-32.988	0.000	0.7563	0.5983	1
26345	26897	-33.988	0.000	0.8031	0.6436	1
26345	33052	-490.212	0.000	0.7085	0.5242	1
26345	33249	-506.208	0.000	0.7306	0.4960	1
26345	33262	1443.200	0.000	0.7024	0.5368	1
26347	26351	-0.004	0.000	0.8847	0.7113	1
26348	26353	-0.015	0.000	0.8323	0.6086	1
26348	26370	-1.002	0.000	0.9296	0.8233	1
26353	26370	-0.987	0.000	0.8286	0.6185	1
26356	26659	-16.017	0.000	0.9346	0.8758	1
26364	26369	-0.996	0.000	0.9425	0.8560	1
26364	26654	-20.960	0.000	0.7894	0.6952	1
26364	26682	-21.972	0.000	0.7271	0.6166	1
26364	37971	2.005	0.000	0.7409	0.5393	1
26364	37973	1.015	0.000	0.8610	0.8488	1
26364	37974	1.003	0.000	0.7335	0.5282	1
26364	37980	0.022	0.000	0.8561	0.8320	1
26364	37990	-0.989	0.000	0.8259	0.7753	1
26364	38093	-15.011	0.000	0.8372	0.7894	1
26364	38102	-16.016	0.000	0.7956	0.6844	1
26364	38103	-16.001	0.000	0.8562	0.8275	1
26364	38110	-17.024	0.000	0.8526	0.8202	1
26364	38113	-18.023	0.000	0.8409	0.8221	1
26364	38125	-20.972	0.000	0.7621	0.6754	1
26364	38134	-21.977	0.000	0.7369	0.5863	1
26364	38142	-22.949	0.000	0.7087	0.6049	1
26365	26378	-1.014	0.000	0.9099	0.7940	1
26365	26663	-15.999	0.000	0.8895	0.7265	1
26365	26688	-17.004	0.000	0.8161	0.6409	1
26365	26735	-18.009	0.000	0.7601	0.5820	1
26365	26757	-18.993	0.000	0.7108	0.5636	1
26367	26382	-0.996	0.000	0.8745	0.7135	1
26367	26399	-1.996	0.000	0.8777	0.7587	1
26367	26407	-3.020	0.000	0.8439	0.7289	1
26367	26578	1689.302	0.000	0.8035	0.6873	1
26367	26595	-17.032	0.000	0.8788	0.7774	1
26367	26615	-18.032	0.000	0.9263	0.8277	1
26367	26626	1687.796	0.000	0.8162	0.6754	1
26367	26883	-31.992	0.000	0.8058	0.6566	1
26367	26897	-32.992	0.000	0.8648	0.7463	1
26367	33039	-488.192	0.000	0.7677	0.5636	1
26367	33052	-489.216	0.000	0.7475	0.5195	1
26367	33249	-505.212	0.000	0.7657	0.5785	1
26367	33262	1444.196	0.000	0.7268	0.5119	1
26367	34661	-643.208	0.000	0.7092	0.5671	1
26369	26654	-19.964	0.000	0.7491	0.6409	1
26369	26682	-20.976	0.000	0.7400	0.6660	1
26369	37971	3.001	0.000	0.7106	0.5051	1
26369	37973	2.011	0.000	0.8214	0.7670	1
26369	37974	1.999	0.000	0.7006	0.4824	1
26369	37980	1.018	0.000	0.8200	0.7803	1
26369	37990	0.007	0.000	0.8229	0.7847	1
26369	38093	-14.015	0.000	0.8010	0.7256	1
26369	38102	-15.020	0.000	0.7638	0.6301	1
26369	38103	-15.005	0.000	0.8220	0.7713	1
26369	38110	-16.028	0.000	0.8235	0.7575	1
26369	38113	-17.027	0.000	0.8191	0.7678	1
26369	38125	-19.976	0.000	0.7637	0.6891	1
26369	38134	-20.981	0.000	0.7373	0.6163	1
26369	38142	-21.953	0.000	0.7296	0.6343	1
26371	26391	-0.999	0.000	0.9777	0.9400	1
26371	26404	-1.992	0.000	0.9339	0.8849	1
26372	26392	-0.999	0.000	0.9130	0.7793	1
26372	26409	-2.001	0.000	0.8845	0.7020	1
26376	26395	-0.999	0.000	0.9345	0.7459	1
26376	26397	-1.008	0.000	0.9567	0.8750	1
26376	26420	-2.004	0.000	0.9450	0.8672	1
26376	26756	-18.036	0.000	0.7917	0.6477	1
26378	26663	-14.985	0.000	0.8441	0.7510	1
26378	26688	-15.990	0.000	0.9516	0.8497	1
26378	26735	-16.995	0.000	0.8753	0.7309	1
26378	26757	-17.979	0.000	0.7793	0.6221	1
26382	26399	-1.000	0.000	0.7985	0.6353	1
26382	26407	-2.024	0.000	0.7798	0.5978	1
26382	26578	1690.297	0.000	0.8640	0.7207	1
26382	26595	-16.036	0.000	0.7987	0.6434	1
26382	26615	-17.036	0.000	0.8483	0.7317	1
26382	26626	1688.792	0.000	0.8964	0.8125	1
26382	26690	-20.984	0.000	0.7370	0.6469	1
26382	26883	-30.996	0.000	0.7306	0.5877	1
26382	26897	-31.996	0.000	0.8003	0.6389	1
26382	33052	-488.220	0.000	0.7329	0.5799	1
26383	26408	-1.002	0.000	0.9561	0.8996	1
26386	26406	-1.006	0.000	0.9204	0.6978	1
26387	26410	-1.000	0.000	0.9547	0.8666	1
26391	26404	-0.993	0.000	0.9467	0.9159	1
26392	26409	-1.002	0.000	0.8885	0.7383	1
26395	26397	-0.009	0.000	0.9354	0.7527	1
26395	26420	-1.005	0.000	0.9400	0.7643	1
26395	26756	-17.037	0.000	0.8007	0.6010	1
26396	26421	-1.005	0.000	0.9241	0.8809	1
26397	26420	-0.996	0.000	0.9731	0.9168	1
26397	26756	-17.028	0.000	0.8142	0.6788	1
26399	26407	-1.024	0.000	0.7805	0.7051	1
26399	26578	1691.297	0.000	0.7542	0.6257	1
26399	26595	-15.036	0.000	0.8415	0.6890	1
26399	26615	-16.036	0.000	0.8785	0.7363	1
26399	26626	1689.792	0.000	0.7690	0.6098	1
26399	26690	-19.984	0.000	0.7072	0.5659	1
26399	26883	-29.996	0.000	0.7639	0.6243	1
26399	26897	-30.996	0.000	0.8256	0.6861	1
26399	33052	-487.220	0.000	0.7258	0.4947	1
26399	33069	-488.208	0.000	0.7133	0.4925	1
26399	33249	-503.216	0.000	0.7243	0.5552	1
26407	26578	1692.322	0.000	0.7167	0.6043	1
26407	26595	-14.012	0.000	0.8345	0.6696	1
26407	26615	-15.012	0.000	0.8297	0.6555	1
26407	26626	1690.816	0.000	0.7206	0.5398	1
26407	26883	-28.972	0.000	0.7107	0.5523	1
